Name_of_Space_Object,International_Designator,National_Designator_s1,Launch_Date,Launching_State,Launch_Site,Launch_Vehicle,Basic_Perigee,Basic_Apogee,Basic_Inclination,Current_Function,Status
,2025-034W,,2025-02-18,,,,,,,,in orbit
,2025-034Y,,2025-02-18,,,,,,,,in orbit
,2025-034X,,2025-02-18,,,,,,,,in orbit
,2025-034D,,2025-02-18,,,,,,,,in orbit
,2025-034E,,2025-02-18,,,,,,,,in orbit
,2025-034K,,2025-02-18,,,,,,,,in orbit
,2025-034F,,2025-02-18,,,,,,,,in orbit
,2025-034G,,2025-02-18,,,,,,,,in orbit
,2025-034H,,2025-02-18,,,,,,,,in orbit
,2025-034J,,2025-02-18,,,,,,,,in orbit
,2025-034L,,2025-02-18,,,,,,,,in orbit
,2025-034P,,2025-02-18,,,,,,,,in orbit
,2025-034T,,2025-02-18,,,,,,,,in orbit
,2025-034R,,2025-02-18,,,,,,,,in orbit
,2025-034V,,2025-02-18,,,,,,,,in orbit
,2025-034M,,2025-02-18,,,,,,,,in orbit
,2025-034N,,2025-02-18,,,,,,,,in orbit
,2025-034Q,,2025-02-18,,,,,,,,in orbit
,2025-034S,,2025-02-18,,,,,,,,in orbit
,2025-034U,,2025-02-18,,,,,,,,in orbit
,2025-032A,,2025-02-15,,,,,,,,in orbit
,2025-032B,,2025-02-15,,,,,,,,in orbit
,2025-032C,,2025-02-15,,,,,,,,in orbit
,2025-032D,,2025-02-15,,,,,,,,in orbit
,2025-032E,,2025-02-15,,,,,,,,in orbit
,2025-032G,,2025-02-15,,,,,,,,in orbit
,2025-032H,,2025-02-15,,,,,,,,in orbit
,2025-032J,,2025-02-15,,,,,,,,in orbit
,2025-032K,,2025-02-15,,,,,,,,in orbit
,2025-032L,,2025-02-15,,,,,,,,in orbit
,2025-032N,,2025-02-15,,,,,,,,in orbit
